Date        Box_A     Box_B     Box_C     EMI(=Box_A-0.5*Box_B-0.5*Box_C)
1893:4:16:0 -0.9698 -0.824883 0.244156 -0.679437
1893:5:16:0 -0.953816 -0.754407 0.245026 -0.699126
1893:6:16:0 -0.983999 -0.771491 0.362718 -0.779612
1893:7:16:0 -1.26318 -0.803808 0.589948 -1.15625
1893:8:16:0 -1.25319 -0.818693 0.421533 -1.05461
1893:9:16:0 -1.20601 -0.662501 0.145859 -0.947694
1893:10:16:0 -1.17927 -0.539289 0.018204 -0.918731
1893:11:16:0 -1.03941 -0.236651 -0.0486061 -0.896784
1893:12:16:0 -0.860386 -0.469325 -0.0957611 -0.577843
1894:1:16:0 -0.893184 -0.296913 -0.0605633 -0.714446
1894:2:16:0 -1.03801 -0.442121 0.0434859 -0.838693
1894:3:16:0 -0.863144 -0.448694 -0.0857243 -0.595935
1894:4:16:0 -0.779413 -0.466639 0.0254644 -0.558826
1894:5:16:0 -0.738319 -0.502777 0.0465175 -0.510189
1894:6:16:0 -0.700749 -0.404641 -0.114024 -0.441416
1894:7:16:0 -0.633894 -0.176018 -0.00410287 -0.543834
1894:8:16:0 -0.577412 -0.332028 -0.155535 -0.333631
1894:9:16:0 -0.824814 -0.429805 0.0122879 -0.616055
1894:10:16:0 -0.625769 -0.394436 -0.108768 -0.374167
1894:11:16:0 -0.660803 -0.565257 -0.160801 -0.297774
1894:12:16:0 -0.43626 -0.331971 -0.215329 -0.16261
1895:1:16:0 -0.547395 -0.374122 -0.140412 -0.290128
1895:2:16:0 -0.33993 -0.398891 -0.146892 -0.0670381
1895:3:16:0 -0.27927 -0.60705 -0.168647 0.108579
1895:4:16:0 -0.260232 -0.380131 -0.196649 0.0281579
1895:5:16:0 -0.227892 -0.265262 -0.178045 -0.00623871
1895:6:16:0 -0.228379 -0.289815 0.0917688 -0.129356
1895:7:16:0 -0.145181 -0.123421 -0.0191538 -0.0738932
1895:8:16:0 0.31962 0.249816 -0.10361 0.246518
1895:9:16:0 0.220679 0.321076 -0.0981093 0.109196
1895:10:16:0 0.0240029 0.535122 -0.0758051 -0.205656
1895:11:16:0 0.155122 0.550086 -0.186297 -0.0267728
1895:12:16:0 0.0920367 0.561105 -0.0894207 -0.143806
1896:1:16:0 -0.0409018 0.527548 0.156626 -0.382989
1896:2:16:0 -0.102227 0.301419 0.0935529 -0.299713
1896:3:16:0 0.0784662 0.0960965 -0.0401949 0.0505154
1896:4:16:0 0.00880091 0.156021 0.0791059 -0.108762
1896:5:16:0 0.103697 0.39349 -0.0311864 -0.077455
1896:6:16:0 -0.162056 0.538354 -0.0988516 -0.381808
1896:7:16:0 0.362591 0.59461 -0.168615 0.149594
1896:8:16:0 0.652021 1.07268 -0.466816 0.349088
1896:9:16:0 0.670249 1.04472 -0.526035 0.410907
1896:10:16:0 0.564432 0.809588 -0.619321 0.469298
1896:11:16:0 0.75855 1.50627 -0.314248 0.16254
1896:12:16:0 0.684546 1.38997 -0.327107 0.153114
1897:1:16:0 0.63832 1.07342 -0.313727 0.258472
1897:2:16:0 0.513785 0.897701 -0.0858121 0.10784
1897:3:16:0 0.289664 0.80732 -0.0727155 -0.0776378
1897:4:16:0 -0.01693 0.471747 0.123133 -0.31437
1897:5:16:0 -0.0174033 0.446385 0.0572685 -0.26923
1897:6:16:0 0.048361 0.315064 0.0355062 -0.126924
1897:7:16:0 0.174065 0.205835 -0.0436004 0.092948
1897:8:16:0 0.154592 0.206262 0.0520217 0.02545
1897:9:16:0 0.102535 -0.0912169 -0.0747981 0.185542
1897:10:16:0 -0.15242 0.102063 0.420517 -0.41371
1897:11:16:0 -0.408617 -0.101546 0.316314 -0.516001
1897:12:16:0 -0.408563 -0.290597 0.245213 -0.385871
1898:1:16:0 -0.532289 -0.327227 0.224053 -0.480702
1898:2:16:0 -0.455223 -0.354761 0.125922 -0.340803
1898:3:16:0 -0.433276 -0.399312 0.0492079 -0.258224
1898:4:16:0 -0.247864 -0.395258 -0.014086 -0.0431921
1898:5:16:0 -0.286924 -0.521915 0.029586 -0.0407591
1898:6:16:0 -0.188256 -0.515812 -0.16797 0.153634
1898:7:16:0 -0.37015 -0.00909367 -0.410551 -0.160328
1898:8:16:0 -0.545784 -0.0806729 -0.509717 -0.250589
1898:9:16:0 -0.371467 -0.501137 -0.2394 -0.00119838
1898:10:16:0 -0.214935 -0.00762456 0.100068 -0.261157
1898:11:16:0 -0.421147 -0.0547898 0.0487132 -0.418109
1898:12:16:0 -0.573147 -0.101382 -0.0167591 -0.514077
1899:1:16:0 -0.678899 0.0478956 0.0593911 -0.732542
1899:2:16:0 -0.584007 -0.117543 0.0781278 -0.564299
1899:3:16:0 -0.439705 0.0725661 0.107432 -0.529704
1899:4:16:0 -0.248515 0.0901833 0.0460428 -0.316628
1899:5:16:0 -0.0313462 0.262871 -0.0148289 -0.155367
1899:6:16:0 -0.0816831 0.353228 -0.042642 -0.236976
1899:7:16:0 0.144218 0.00377904 0.00203557 0.141311
1899:8:16:0 0.33061 1.03533 -0.0683068 -0.1529
1899:9:16:0 0.0870238 1.02339 -0.328066 -0.260638
1899:10:16:0 0.606171 0.940745 -0.500213 0.385906
1899:11:16:0 0.787272 1.00377 -0.377222 0.473998
1899:12:16:0 0.879234 0.837086 -0.323692 0.622537
1900:1:16:0 0.711122 1.15811 -0.307381 0.285758
1900:2:16:0 0.586211 1.23742 -0.0270829 -0.0189573
1900:3:16:0 0.512899 1.14473 -0.0260738 -0.0464271
1900:4:16:0 0.447012 0.848812 0.0933063 -0.024047
1900:5:16:0 0.41063 0.69297 0.0691953 0.0295467
1900:6:16:0 0.428861 0.807195 0.148782 -0.0491276
1900:7:16:0 0.492094 0.566743 0.102004 0.15772
1900:8:16:0 0.506569 0.287222 0.0681347 0.328891
1900:9:16:0 0.473998 0.263709 0.0274484 0.328419
1900:10:16:0 0.460483 -0.0157389 -0.180728 0.558716
1900:11:16:0 0.353089 -0.0189487 -0.112072 0.418599
1900:12:16:0 0.602689 0.105705 0.119432 0.490121
1901:1:16:0 0.628412 0.101028 -0.0281139 0.591955
1901:2:16:0 0.299817 -0.0410359 -0.115397 0.378033
1901:3:16:0 0.232792 -0.266489 -0.0562922 0.394182
1901:4:16:0 0.16384 -0.24215 0.0629701 0.25343
1901:5:16:0 0.119109 -0.510902 0.0926325 0.328244
1901:6:16:0 -0.0282806 -0.576403 0.0914591 0.214191
1901:7:16:0 0.0301896 -0.437807 -0.129168 0.313677
1901:8:16:0 0.0847214 -0.284322 -0.161602 0.307684
1901:9:16:0 -0.141722 -0.323971 -0.140871 0.0906994
1901:10:16:0 -0.0898302 -0.015605 -0.0406871 -0.0616842
